MOB.021.Rec.R1.fastq	MOB.022.Rec.R1.fastq	MOB.029.Rec.R1.fastq	MOB.037.Rec.R1.fastq	MOB.055.Rec.R1.fastq	MOB.103.Rec.R1.fastq	MOB.175.Rec.R1.fastq	MOB.195.Rec.R1.fastq	MOB.280.Rec.R1.fastq	MOB.281.Rec.R1.fastq
k__Bacteria	89180	65316	97285	69176	54100	56533	50035	72704	58873	40926
k__Archaea	0	0	0	0	0	0	9	0	0	0
p__Firmicutes_A	58059	0	595	7745	5952	3544	8925	35764	9	4889
p__Firmicutes	71940	51995	80172	61589	12469	11334	37231	47893	58856	14991
p__Bacteroidota	10374	0	2973	6702	1504	5534	646	1345	0	411
p__Fusobacteriota	168	0	0	0	4058	4159	15	0	0	3
p__Actinobacteriota	5600	112	14140	883	36025	35501	8337	23454	16	23100
p__Cyanobacteriota	39	0	0	0	0	0	0	0	0	8
p__Proteobacteria	21	13209	0	2	38	4	317	7	1	2269
p__Desulfobacterota	5	0	0	0	0	0	0	0	0	0
p__Verrucomicrobiota	0	0	0	0	3	0	15	0	0	15
p__Firmicutes_C	1985	0	2986	1595	1755	4361	281	732	0	222
p__Campylobacterota	898	0	0	0	0	1	2930	2	0	43
p__Synergistota	16	0	0	0	0	0	389	0	0	0
p__Euryarchaeota	0	0	0	0	0	0	9	0	0	0
p__Deinococcota	0	0	0	0	0	0	10	0	0	14
Firmicutes_A;c__Clostridia	58059	0	595	7745	5952	3544	8925	35764	9	4889
Firmicutes;c__Bacilli	11896	51995	76591	52249	4762	3429	28018	11397	58847	9880
Bacteroidota;c__Bacteroidia	10374	0	2973	6702	1504	5534	638	1345	0	411
Fusobacteriota;c__Fusobacteriia	168	0	0	0	4058	4159	15	0	0	3
Actinobacteriota;c__Actinobacteria	5170	112	13631	243	27765	24055	8062	23379	16	23067
Firmicutes;c__Bacilli_A	0	0	0	0	0	0	0	0	0	5
Cyanobacteriota;c__Vampirovibrionia	39	0	0	0	0	0	0	0	0	8
Proteobacteria;c__Gammaproteobacteria	18	10672	0	1	30	4	251	7	1	2044
Actinobacteriota;c__Coriobacteriia	430	0	509	640	8260	11446	275	75	0	33
Desulfobacterota;c__Desulfovibrionia	5	0	0	0	0	0	0	0	0	0
Firmicutes_C;c__Negativicutes	1985	0	2986	1595	1755	4361	281	732	0	222
Proteobacteria;c__Alphaproteobacteria	3	0	0	1	8	0	66	0	0	225
Campylobacterota;c__Campylobacteria	898	0	0	0	0	1	2930	2	0	43
Synergistota;c__Synergistia	16	0	0	0	0	0	389	0	0	0
Euryarchaeota;c__Methanobacteria	0	0	0	0	0	0	9	0	0	0
Deinococcota;c__Deinococci	0	0	0	0	0	0	10	0	0	14
Firmicutes;c__Alicyclobacillia	0	0	0	0	0	0	7	0	0	0
Verrucomicrobiota;c__Verrucomicrobiae	0	0	0	0	3	0	15	0	0	15
Firmicutes_A;Clostridia;o__Lachnospirales	4066	0	26	634	45	0	2164	107	0	468
Firmicutes;Bacilli;o__Lactobacillales	11390	27478	76587	52194	4169	3424	25986	11205	58744	9261
Firmicutes_A;Clostridia;o__Tissierellales	47313	0	556	5315	1709	997	4266	35139	8	3891
Firmicutes_A;Clostridia;o__Oscillospirales	3620	0	0	2	20	3	1071	36	0	347
Firmicutes_A;Clostridia;o__TANB77	123	0	0	0	0	0	16	0	0	0
Firmicutes_A;Clostridia;o__CAG-41	24	0	0	0	0	0	12	0	0	0
Bacteroidota;Bacteroidia;o__Bacteroidales	10374	0	2973	6702	1504	5534	638	1345	0	355
Firmicutes_A;Clostridia;o__Clostridiales	405	0	0	0	3	0	287	17	0	84
Firmicutes;Bacilli;o__Bacillales	0	12846	0	0	0	0	27	0	0	0
Fusobacteriota;Fusobacteriia;o__Fusobacteriales	168	0	0	0	4058	4159	15	0	0	3
Actinobacteriota;Actinobacteria;o__Actinomycetales	4250	0	13599	204	25573	24039	1096	680	1	1902
Firmicutes;Bacilli;o__Staphylococcales	86	11671	4	13	386	5	1914	182	89	549
Firmicutes;Bacilli_A;o__Paenibacillales	0	0	0	0	0	0	0	0	0	5
Cyanobacteriota;Vampirovibrionia;o__Gastranaerophilales	39	0	0	0	0	0	0	0	0	8
Actinobacteriota;Actinobacteria;o__Corynebacteriales	920	112	32	39	2192	16	6966	22699	15	21165
Proteobacteria;Gammaproteobacteria;o__Betaproteobacteriales	16	2	0	1	12	0	128	0	0	138
Actinobacteriota;Coriobacteriia;o__Coriobacteriales	430	0	509	640	8260	11446	275	75	0	33
Desulfobacterota;Desulfovibrionia;o__Desulfovibrionales	5	0	0	0	0	0	0	0	0	0
Firmicutes_C;Negativicutes;o__Veillonellales	1826	0	2986	1595	1755	4361	273	732	0	222
Proteobacteria;Gammaproteobacteria;o__Xanthomonadales	0	0	0	0	0	0	0	0	0	6
Proteobacteria;Alphaproteobacteria;o__Sphingomonadales	0	0	0	0	1	0	17	0	0	183
Campylobacterota;Campylobacteria;o__Campylobacterales	898	0	0	0	0	1	2930	2	0	43
Proteobacteria;Gammaproteobacteria;o__Enterobacterales	2	10670	0	0	9	0	108	1	0	1504
Firmicutes;Bacilli;o__Erysipelotrichales	402	0	0	0	5	0	51	9	0	59
Proteobacteria;Gammaproteobacteria;o__Pseudomonadales	0	0	0	0	9	4	15	6	1	396
Synergistota;Synergistia;o__Synergistales	16	0	0	0	0	0	389	0	0	0
Firmicutes_A;Clostridia;o__Peptostreptococcales	2442	0	13	1794	0	8	324	361	1	98
Firmicutes_C;Negativicutes;o__Selenomonadales	1	0	0	0	0	0	8	0	0	0
Proteobacteria;Alphaproteobacteria;o__Rhizobiales	0	0	0	1	7	0	30	0	0	42
Firmicutes_A;Clostridia;o__Eubacteriales	0	0	0	0	0	0	690	0	0	0
Proteobacteria;Alphaproteobacteria;o__Rhodobacterales	0	0	0	0	0	0	10	0	0	0
