MOB.021.Vag.R1.fastq	MOB.022.Vag.R1.fastq	MOB.029.Vag.R1.fastq	MOB.037.Vag.R1.fastq	MOB.055.Vag.R1.fastq	MOB.103.Vag.R1.fastq	MOB.175.Vag.R1.fastq	MOB.195.Vag.R1.fastq	MOB.280.Vag.R1.fastq	MOB.281.Vag.R1.fastq
k__Bacteria	61210	91185	26031	534493	57089	74910	76919	61654	55865	74703
k__Archaea	41	59	0	0	7	43	16	10	0	103
p__Firmicutes_A	20236	55079	57	379749	24827	63743	41153	43966	4255	10523
p__Firmicutes	23458	64329	22836	405982	32304	65506	45123	46522	43006	64389
p__Bacteroidota	4742	17198	13	41628	3586	4683	216	6859	395	1822
p__Fusobacteriota	0	33	0	2275	0	281	451	0	0	0
p__Actinobacteriota	2353	4241	54	44646	19329	3681	30158	6985	90	4053
p__Cyanobacteriota	78	277	0	482	0	17	0	172	0	208
p__Proteobacteria	29710	2500	3128	34205	1579	119	928	218	12365	406
p__Desulfobacterota	54	144	0	0	0	41	14	280	3	0
p__Verrucomicrobiota	118	0	0	1505	0	7	0	98	2	0
p__Firmicutes_C	701	3497	1	5752	927	1091	882	589	25	898
p__Campylobacterota	502	2008	0	18	175	269	10	109	4	634
p__Synergistota	0	0	0	0	0	78	0	0	0	2631
p__Euryarchaeota	41	59	0	0	7	43	16	10	0	103
p__Planctomycetota	0	0	0	0	0	0	11	0	0	0
p__Deferribacterota	0	0	0	6	0	0	0	0	0	0
p__Elusimicrobiota	0	3	0	0	0	0	0	0	0	0
p__Spirochaetota	0	0	0	0	0	0	0	0	0	3
p__Bdellovibrionota	0	0	0	0	8	0	0	0	0	0
p__Firmicutes_B	0	0	0	0	0	0	0	4	0	0
Firmicutes_A;c__Clostridia	20236	55079	57	379749	24827	63743	41153	43966	4255	10523
Firmicutes;c__Bacilli	2521	5753	22778	20481	6550	672	3088	1963	38726	52968
Bacteroidota;c__Bacteroidia	4742	17198	13	41628	3586	4683	216	6859	395	1599
Fusobacteriota;c__Fusobacteriia	0	33	0	2275	0	281	451	0	0	0
Actinobacteriota;c__Actinobacteria	2042	3067	53	42938	18985	2448	29688	6486	60	3580
Firmicutes;c__Bacilli_A	0	0	0	0	14	6	0	0	0	0
Cyanobacteriota;c__Vampirovibrionia	78	277	0	482	0	17	0	172	0	208
Proteobacteria;c__Gammaproteobacteria	29710	2500	3128	34136	1508	117	400	204	12365	314
Actinobacteriota;c__Coriobacteriia	311	1174	1	1708	344	1233	470	499	30	473
Desulfobacterota;c__Desulfovibrionia	54	144	0	0	0	41	14	280	3	0
Verrucomicrobiota;c__Lentisphaeria	0	0	0	7	0	0	0	2	0	0
Firmicutes_C;c__Negativicutes	701	3497	1	5752	927	1091	882	589	25	898
Proteobacteria;c__Alphaproteobacteria	0	0	0	69	71	2	528	14	0	92
Campylobacterota;c__Campylobacteria	502	2008	0	18	175	269	10	109	4	634
Synergistota;c__Synergistia	0	0	0	0	0	78	0	0	0	2631
Euryarchaeota;c__Methanobacteria	41	59	0	0	7	43	16	10	0	103
Planctomycetota;c__Phycisphaerae	0	0	0	0	0	0	11	0	0	0
Deferribacterota;c__Deferribacteres	0	0	0	6	0	0	0	0	0	0
Elusimicrobiota;c__Elusimicrobia	0	3	0	0	0	0	0	0	0	0
Bdellovibrionota;c__Bacteriovoracia	0	0	0	0	8	0	0	0	0	0
Verrucomicrobiota;c__Verrucomicrobiae	118	0	0	1498	0	7	0	96	2	0
Firmicutes_A;Clostridia;o__Lachnospirales	2462	10147	0	175658	1871	4412	298	11244	148	286
Firmicutes;Bacilli;o__Lactobacillales	1535	1963	19458	8311	4065	296	1650	223	38586	52100
Firmicutes_A;Clostridia;o__Tissierellales	10016	32167	54	41	20246	53558	40250	17941	2127	7484
Firmicutes_A;Clostridia;o__Oscillospirales	2390	8086	0	153010	1036	2713	397	11031	249	144
Firmicutes_A;Clostridia;o__TANB77	55	72	0	810	10	40	0	94	1	0
Firmicutes_A;Clostridia;o__CAG-41	12	7	0	2175	0	12	0	53	0	0
Bacteroidota;Bacteroidia;o__Bacteroidales	4742	17158	13	41626	3212	4682	178	6848	395	1567
Firmicutes_A;Clostridia;o__Clostridiales	47	2216	0	25859	131	68	5	1099	5	20
Firmicutes;Bacilli;o__Bacillales	0	0	0	0	0	0	0	0	0	5
Fusobacteriota;Fusobacteriia;o__Fusobacteriales	0	33	0	2275	0	281	451	0	0	0
Actinobacteriota;Actinobacteria;o__Actinomycetales	2019	1511	42	42918	2964	1939	6621	4505	56	1291
Firmicutes;Bacilli;o__Staphylococcales	530	219	3320	139	1733	11	1076	47	140	772
Firmicutes;Bacilli_A;o__Paenibacillales	0	0	0	0	14	6	0	0	0	0
Cyanobacteriota;Vampirovibrionia;o__Gastranaerophilales	78	277	0	482	0	17	0	172	0	208
Actinobacteriota;Actinobacteria;o__Corynebacteriales	23	1556	11	20	16021	509	23061	1981	4	2289
Proteobacteria;Gammaproteobacteria;o__Betaproteobacteriales	230	223	2	2718	319	109	58	157	57	31
Actinobacteriota;Coriobacteriia;o__Coriobacteriales	311	1174	1	1708	344	1233	470	499	30	473
