seq_header	DECI_Kingdom	DECI_Phylum	DECI_Class	DECI_Order	DECI_Family	DECI_Genus	DECI_Species	RDP_Kingdom	RDP_Phylum	RDP_Class	RDP_Order	RDP_Family	RDP_Genus	RDP_Species	Control.pool.R1.fastq	MOB.021.Rec.R1.fastq	MOB.021.Vag.R1.fastq	MOB.022.Rec.R1.fastq	MOB.022.Vag.R1.fastq	MOB.029.Rec.R1.fastq	MOB.029.Vag.R1.fastq	MOB.037.Rec.R1.fastq	MOB.037.Vag.R1.fastq	MOB.055.Rec.R1.fastq	MOB.055.Vag.R1.fastq	MOB.103.Rec.R1.fastq	MOB.103.Vag.R1.fastq	MOB.175.Rec.R1.fastq	MOB.175.Vag.R1.fastq	MOB.195.Rec.R1.fastq	MOB.195.Vag.R1.fastq	MOB.280.Rec.R1.fastq	MOB.280.Vag.R1.fastq	MOB.281.Rec.R1.fastq	MOB.281.Vag.R1.fastq	PCR.NTC.R1.fastq	Zymo.R1.fastq
1	00823811b89b9b5da7d663777733d413	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_A	NA	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B	NA	0	0	0	0	0	0	0	0	170	0	0	0	102	0	0	0	0	0	0	0	0	0	0
2	0124a1d30b343b3510dc877660a4259b	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
3	014d4286a8ab26e5b83537a785f8ec8d	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Helcococcaceae	Kallipyga	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Helcococcaceae	Murdochiella	Murdochiella_massiliensis(RS_GCF_900059565.1)	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	01867e5173c329f84875f8b1f611fc14	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-45	NA	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-45	(GB_GCA_900066395.1)	5	0	0	0	21	0	0	0	689	0	0	0	13	9	2	0	817	0	0	0	0	0	0
5	01c714c0bee2b28a78f807343858cdde	NA	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	NA	NA	NA	NA	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	01dd47e164d623598443abb6a6695a64	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Helcococcaceae	Finegoldia	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Helcococcaceae	Finegoldia	NA	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	01df71583b64035f1a730953d88cfd96	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	NA	8	299	160	0	645	0	0	1	5909	1	40	0	517	61	16	0	490	0	2	26	0	0	0
8	0231a071111023ce86d992cd5157aa49	Bacteria	Firmicutes_A	Clostridia	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	Ruminiclostridium_E_siraeum(RS_GCF_001404415.1)	1	29	0	0	1	0	0	0	456	0	0	0	0	6	0	0	24	0	0	14	0	0	0
9	02af81b66d94a6c678874e4e52f88406	Bacteria	Firmicutes_A	Clostridia	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-354	(GB_GCA_000437455.1)	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	02cb7341353be628015dc07d7dffc67a	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	0	63	592	0	34	257	24	191	0	24	0	10	13	0	0	61	0	0	33	54	15	0	21
